0,1,2,Label
11.410319,14.787295,15.0428295,"Southern Han Chinese, China"
11.442922,13.296409,14.724728,"Southern Han Chinese, China"
11.37924,14.867096,15.064024,"Southern Han Chinese, China"
11.367815,12.8596735,14.519836,"Southern Han Chinese, China"
11.513488,13.657972,14.872196,"Southern Han Chinese, China"
11.545911,13.75428,14.91452,"Southern Han Chinese, China"
11.524424,14.066041,14.939534,"Southern Han Chinese, China"
11.566813,13.704702,14.924939,"Southern Han Chinese, China"
11.499492,13.614034,14.851093,"Southern Han Chinese, China"
11.458669,14.695555,15.01473,"Southern Han Chinese, China"
11.579464,13.666745,14.92157,"Southern Han Chinese, China"
11.501173,13.631481,14.865902,"Southern Han Chinese, China"
11.499426,13.690083,14.865708,"Southern Han Chinese, China"
11.56174,13.804822,14.940469,"Southern Han Chinese, China"
11.516968,13.548563,14.846798,"Southern Han Chinese, China"
11.546717,13.598503,14.881166,"Southern Han Chinese, China"
11.472088,14.635257,14.999404,"Southern Han Chinese, China"
11.422821,13.239588,14.689656,"Southern Han Chinese, China"
11.505803,14.511239,14.976691,"Southern Han Chinese, China"
11.484164,14.569491,14.988445,"Southern Han Chinese, China"
11.339249,14.9361515,15.095385,"Southern Han Chinese, China"
11.533604,13.933199,14.929971,"Southern Han Chinese, China"
11.3189125,14.960732,15.114835,"Southern Han Chinese, China"
11.373598,12.879716,14.531679,"Southern Han Chinese, China"
11.344094,14.930858,15.091481,"Southern Han Chinese, China"
11.42106,13.173768,14.668934,"Southern Han Chinese, China"
11.511834,13.487876,14.831536,"Southern Han Chinese, China"
11.367537,12.857593,14.51864,"Southern Han Chinese, China"
11.37142,12.866147,14.524626,"Southern Han Chinese, China"
11.573024,13.797323,14.945196,"Southern Han Chinese, China"
12.179517,11.095896,2.8454533,"Puerto Rican
Puerto Rico"
12.426529,11.456272,2.613662,"Puerto Rican
Puerto Rico"
12.202698,10.020986,2.8383007,"Puerto Rican
Puerto Rico"
12.342982,11.1070795,2.6276758,"Puerto Rican
Puerto Rico"
11.39994,13.04461,14.609301,"Southern Han Chinese, China"
11.371076,14.873309,15.0708,"Southern Han Chinese, China"
11.502677,13.616506,14.853376,"Southern Han Chinese, China"
11.413483,13.214084,14.677669,"Southern Han Chinese, China"
11.51368,14.177356,14.94803,"Southern Han Chinese, China"
11.495784,13.6286335,14.850874,"Southern Han Chinese, China"
11.371033,12.864027,14.523708,"Southern Han Chinese, China"
11.4633255,14.661594,15.002802,"Southern Han Chinese, China"
11.429831,13.264502,14.704775,"Southern Han Chinese, China"
11.423003,14.819089,15.020668,"Southern Han Chinese, China"
11.440706,13.384461,14.747872,"Southern Han Chinese, China"
11.500119,13.575273,14.838559,"Southern Han Chinese, China"
11.458656,14.606916,15.000709,"Southern Han Chinese, China"
11.512039,14.190245,14.95026,"Southern Han Chinese, China"
11.520604,13.57634,14.8593645,"Southern Han Chinese, China"
11.523723,13.781721,14.907601,"Southern Han Chinese, China"
11.452653,13.355781,14.747569,"Southern Han Chinese, China"
11.386892,12.878988,14.538913,"Southern Han Chinese, China"
11.471006,14.627696,14.997879,"Southern Han Chinese, China"
11.450766,14.679677,15.011756,"Southern Han Chinese, China"
11.368108,12.859529,14.519763,"Southern Han Chinese, China"
11.4505,14.698853,15.012074,"Southern Han Chinese, China"
11.359522,14.90544,15.078512,"Southern Han Chinese, China"
11.4712,14.633442,14.996905,"Southern Han Chinese, China"
11.483361,14.542786,14.9894,"Southern Han Chinese, China"
11.418518,13.22269,14.68137,"Southern Han Chinese, China"
11.432675,13.263875,14.71053,"Southern Han Chinese, China"
11.339434,14.933709,15.095316,"Southern Han Chinese, China"
11.920292,10.62928,3.0271282,"Puerto Rican
Puerto Rico"
12.016996,10.8673315,2.9505098,"Puerto Rican
Puerto Rico"
12.344355,11.172683,2.646695,"Puerto Rican
Puerto Rico"
12.216907,10.667222,2.6407337,"Puerto Rican
Puerto Rico"
12.092044,9.386839,2.8511202,"Puerto Rican
Puerto Rico"
12.130915,9.846635,2.7436974,"Puerto Rican
Puerto Rico"
12.211944,10.186686,2.7006598,"Puerto Rican
Puerto Rico"
12.097301,9.648333,2.7439997,"Puerto Rican
Puerto Rico"
12.204156,10.053689,2.796223,"Puerto Rican
Puerto Rico"
11.5144825,13.885843,14.925497,"Chinese Dai
Xishuangbanna, China"
11.53522,13.884676,14.92443,"Chinese Dai
Xishuangbanna, China"
11.451508,13.3801985,14.750402,"Chinese Dai
Xishuangbanna, China"
11.358432,12.849988,14.509874,"Chinese Dai
Xishuangbanna, China"
11.371574,12.875105,14.527085,"Chinese Dai
Xishuangbanna, China"
11.398644,14.835291,15.046232,"Chinese Dai
Xishuangbanna, China"
11.522311,13.748915,14.892724,"Chinese Dai
Xishuangbanna, China"
11.499783,13.606311,14.838178,"Chinese Dai
Xishuangbanna, China"
11.346055,14.924484,15.089577,"Chinese Dai
Xishuangbanna, China"
11.45945,13.468544,14.78055,"Chinese Dai
Xishuangbanna, China"
11.368765,12.853879,14.518311,"Chinese Dai
Xishuangbanna, China"
11.369318,12.856627,14.519419,"Chinese Dai
Xishuangbanna, China"
11.448051,14.698676,15.012962,"Chinese Dai
Xishuangbanna, China"
11.368392,12.858835,14.5194435,"Chinese Dai
Xishuangbanna, China"
11.519601,14.010615,14.930873,"Chinese Dai
Xishuangbanna, China"
12.223644,9.012156,2.960622,"Puerto Rican
Puerto Rico"
12.291111,11.094606,2.690846,"Puerto Rican
Puerto Rico"
12.592414,11.834063,2.5644696,"Puerto Rican
Puerto Rico"
12.318938,11.067697,2.6329446,"Puerto Rican
Puerto Rico"
12.576572,11.847874,2.548394,"Puerto Rican
Puerto Rico"
12.040034,10.79251,2.8754675,"Puerto Rican
Puerto Rico"
12.432876,11.503027,2.629049,"Puerto Rican
Puerto Rico"
12.430373,11.472003,2.612037,"Puerto Rican
Puerto Rico"
12.217248,9.001006,2.9668474,"Puerto Rican
Puerto Rico"
12.150329,9.85707,2.6759984,"Puerto Rican
Puerto Rico"
12.60608,11.888736,2.5725942,"Puerto Rican
Puerto Rico"
12.21536,8.936005,2.9821177,"Puerto Rican
Puerto Rico"
12.214219,10.467064,2.62405,"Puerto Rican
Puerto Rico"
12.152446,10.122132,2.6846313,"Puerto Rican
Puerto Rico"
12.429305,11.446797,2.6149087,"Puerto Rican
Puerto Rico"
12.198426,10.522875,2.663502,"Puerto Rican
Puerto Rico"
12.269489,8.985037,2.9780352,"Puerto Rican
Puerto Rico"
12.151834,9.952192,2.676998,"Puerto Rican
Puerto Rico"
12.116597,9.965874,2.82253,"Puerto Rican
Puerto Rico"
12.311901,10.693603,2.5746813,"Puerto Rican
Puerto Rico"
12.251844,10.649385,2.6525238,"Puerto Rican
Puerto Rico"
12.297245,11.074789,2.6798842,"Puerto Rican
Puerto Rico"
12.252107,10.91818,2.6703262,"Puerto Rican
Puerto Rico"
12.203431,9.026874,2.951781,"Puerto Rican
Puerto Rico"
12.2304,11.149992,2.7875388,"Puerto Rican
Puerto Rico"
12.118837,9.806711,2.6738744,"Puerto Rican
Puerto Rico"
12.580203,11.863905,2.549896,"Puerto Rican
Puerto Rico"
12.204807,10.438936,2.624939,"Puerto Rican
Puerto Rico"
12.597409,11.878632,2.5644357,"Puerto Rican
Puerto Rico"
12.176933,10.805453,2.7020268,"Puerto Rican
Puerto Rico"
12.450568,11.513429,2.6060002,"Puerto Rican
Puerto Rico"
12.196165,10.500739,2.6681738,"Puerto Rican
Puerto Rico"
12.17535,10.660817,2.7174938,"Puerto Rican
Puerto Rico"
12.304149,11.098141,2.6886573,"Puerto Rican
Puerto Rico"
12.17707,10.315444,2.6797922,"Puerto Rican
Puerto Rico"
12.146812,10.101375,2.7476795,"Puerto Rican
Puerto Rico"
12.307006,11.025738,2.6526053,"Puerto Rican
Puerto Rico"
12.567889,11.82099,2.5595353,"Puerto Rican
Puerto Rico"
12.589833,11.8704195,2.5560827,"Puerto Rican
Puerto Rico"
12.1640625,10.433886,2.7209911,"Puerto Rican
Puerto Rico"
12.253312,10.512003,2.661401,"Puerto Rican
Puerto Rico"
11.993675,10.074791,2.8589842,"Colombian
Medellin, Colombia"
12.445767,9.808079,3.0075045,"Colombian
Medellin, Colombia"
11.875393,10.601911,3.0347934,"Colombian
Medellin, Colombia"
12.51243,8.693027,3.115324,"Colombian
Medellin, Colombia"
12.018471,10.827443,2.9643443,"Colombian
Medellin, Colombia"
12.309576,10.815671,2.6310954,"Colombian
Medellin, Colombia"
12.449744,11.536123,2.6209946,"Colombian
Medellin, Colombia"
11.95201,10.615468,2.985453,"Colombian
Medellin, Colombia"
12.214189,10.0275545,2.8577483,"Colombian
Medellin, Colombia"
12.109909,10.102089,2.7042525,"Colombian
Medellin, Colombia"
12.196888,10.478575,2.6650853,"Colombian
Medellin, Colombia"
12.106079,10.0557,2.8195052,"Colombian
Medellin, Colombia"
12.533631,9.92081,3.0948443,"Colombian
Medellin, Colombia"
12.312437,10.072544,2.916127,"Colombian
Medellin, Colombia"
12.280444,11.112714,2.7130516,"Colombian
Medellin, Colombia"
12.31323,9.979318,2.9171078,"Colombian
Medellin, Colombia"
12.505054,8.526138,3.1770017,"Colombian
Medellin, Colombia"
12.524313,8.625661,3.1389778,"Colombian
Medellin, Colombia"
12.457606,11.548379,2.616188,"Puerto Rican
Puerto Rico"
12.104051,10.131004,2.783828,"Puerto Rican
Puerto Rico"
12.165791,11.100092,2.865122,"Puerto Rican
Puerto Rico"
12.414776,11.451167,2.6347206,"Puerto Rican
Puerto Rico"
12.029259,10.793829,2.8968718,"Puerto Rican
Puerto Rico"
12.236782,10.472464,2.5933375,"Puerto Rican
Puerto Rico"
12.339172,11.243739,2.680261,"Puerto Rican
Puerto Rico"
11.954312,10.653765,2.9492414,"Puerto Rican
Puerto Rico"
12.144643,9.934575,2.6740022,"Puerto Rican
Puerto Rico"
12.10881,10.352212,2.7820017,"Puerto Rican
Puerto Rico"
12.042566,10.8844795,2.9426875,"Puerto Rican
Puerto Rico"
12.129959,10.340328,2.7953968,"Puerto Rican
Puerto Rico"
12.157071,9.991182,2.6403468,"Puerto Rican
Puerto Rico"
12.21222,10.645033,2.7196872,"Puerto Rican
Puerto Rico"
12.458848,11.564322,2.616122,"Puerto Rican
Puerto Rico"
12.344709,11.2048435,2.6669955,"Puerto Rican
Puerto Rico"
12.69238,8.212712,3.3184116,"Puerto Rican
Puerto Rico"
12.18031,9.98322,2.8644555,"Puerto Rican
Puerto Rico"
12.40696,11.444355,2.6438947,"Puerto Rican
Puerto Rico"
12.295389,8.869994,3.0218194,"Puerto Rican
Puerto Rico"
12.333224,11.159145,2.6623359,"Puerto Rican
Puerto Rico"
12.176349,10.881318,2.791609,"Puerto Rican
Puerto Rico"
12.590859,11.872211,2.5557165,"Puerto Rican
Puerto Rico"
12.596488,11.874944,2.550673,"Puerto Rican
Puerto Rico"
12.319134,11.113716,2.665754,"Puerto Rican
Puerto Rico"
12.400885,11.442844,2.6482005,"Puerto Rican
Puerto Rico"
12.502083,9.8005495,3.0414193,"Colombian
Medellin, Colombia"
12.512113,9.80991,3.0472946,"Colombian
Medellin, Colombia"
12.068653,10.89383,2.9225757,"Colombian
Medellin, Colombia"
12.182444,11.0706415,2.8392403,"Colombian
Medellin, Colombia"
12.254678,8.969402,2.9796085,"Colombian
Medellin, Colombia"
12.456967,8.800156,3.0652778,"Colombian
Medellin, Colombia"
12.358798,8.915814,3.0164814,"Colombian
Medellin, Colombia"
12.088742,10.859369,2.9093285,"Colombian
Medellin, Colombia"
12.341132,8.900014,3.0144048,"Colombian
Medellin, Colombia"
12.02461,10.091707,2.8578653,"Colombian
Medellin, Colombia"
12.294646,10.231435,2.894826,"Colombian
Medellin, Colombia"
12.790911,8.112273,3.3804185,"Colombian
Medellin, Colombia"
12.503115,8.812006,3.0844867,"Colombian
Medellin, Colombia"
11.987394,10.585385,3.0020592,"Colombian
Medellin, Colombia"
12.053169,10.520099,3.0067503,"Colombian
Medellin, Colombia"
12.464748,9.952051,3.0444734,"Colombian
Medellin, Colombia"
12.567668,11.83889,2.5534813,"Puerto Rican
Puerto Rico"
12.157877,11.048634,2.8606067,"Puerto Rican
Puerto Rico"
12.1909,10.554511,2.7730355,"Puerto Rican
Puerto Rico"
11.963266,10.633441,3.0169163,"Puerto Rican
Puerto Rico"
12.455464,11.564512,2.6212049,"Puerto Rican
Puerto Rico"
12.07547,9.292434,2.8967538,"Puerto Rican
Puerto Rico"
12.191805,10.973204,2.7670257,"Puerto Rican
Puerto Rico"
12.227693,10.670403,2.6799245,"Puerto Rican
Puerto Rico"
12.159443,10.152678,2.6086125,"Puerto Rican
Puerto Rico"
12.2074795,9.052237,2.9484313,"Puerto Rican
Puerto Rico"
12.151834,8.986477,2.974561,"British
England and Scotland"
12.518003,9.0871315,3.0358691,"Colombian
Medellin, Colombia"
12.5987215,11.870275,2.5742133,"Colombian
Medellin, Colombia"
12.469747,9.903208,3.0353591,"Colombian
Medellin, Colombia"
12.091088,10.256848,2.8581355,"Colombian
Medellin, Colombia"
12.71159,8.190787,3.3301723,"Colombian
Medellin, Colombia"
12.703813,8.203898,3.3261468,"Colombian
Medellin, Colombia"
12.495877,9.768059,3.0306349,"Colombian
Medellin, Colombia"
12.058647,10.830294,2.8560123,"Colombian
Medellin, Colombia"
12.191933,9.034209,2.9626129,"Colombian
Medellin, Colombia"
12.056405,9.60672,2.930055,"Colombian
Medellin, Colombia"
12.481133,9.083968,3.0314713,"Colombian
Medellin, Colombia"
12.472945,8.740976,3.0934818,"Colombian
Medellin, Colombia"
11.903264,10.620348,3.034615,"Colombian
Medellin, Colombia"
12.458796,11.567224,2.6190155,"Colombian
Medellin, Colombia"
12.441291,8.957772,3.0335536,"Colombian
Medellin, Colombia"
12.541025,11.7792,2.5777166,"Colombian
Medellin, Colombia"
12.477162,8.959935,3.0445158,"Colombian
Medellin, Colombia"
12.112739,10.586368,2.8312166,"Colombian
Medellin, Colombia"
11.954297,10.645293,3.0293093,"Colombian
Medellin, Colombia"
12.665484,8.238028,3.2979984,"Colombian
Medellin, Colombia"
12.47209,9.041236,3.0322978,"Colombian
Medellin, Colombia"
12.210113,10.854102,2.7470186,"Colombian
Medellin, Colombia"
12.527023,9.861497,3.0648355,"Colombian
Medellin, Colombia"
12.685035,8.220095,3.3120892,"Colombian
Medellin, Colombia"
12.094731,10.0877075,2.7767732,"Colombian
Medellin, Colombia"
12.61258,8.2745075,3.2805805,"Colombian
Medellin, Colombia"
12.579591,11.850801,2.5590947,"Colombian
Medellin, Colombia"
